State,Year,Federal Taxes paid,Federal Spending received,Federal Spending received per dollar of tax paid,Electoral votes,Presidential voters,Electors per voter,Times voted R
Alabama,1981,7356,9361,1.2726,9,1341929,6.71E-06,1
Alabama,1982,7494,9933,1.3255,9,1341929,6.71E-06,1
Alabama,1983,7415,10813,1.4583,9,1341929,6.71E-06,1
Alabama,1984,8259,11444,1.3856,9,1441713,6.24E-06,2
Alabama,1985,9142,12469,1.3639,9,1441713,6.24E-06,2
Alabama,1986,9377,13097,1.3967,9,1441713,6.24E-06,2
Alabama,1987,10280,13927,1.3548,9,1441713,6.24E-06,2
Alabama,1988,10866,14354,1.321,9,1378476,6.53E-06,3
Alabama,1989,11903,15131,1.2712,9,1378476,6.53E-06,3
Alabama,1990,12440,17358,1.3953,9,1378476,6.53E-06,3
Alabama,1991,13111,18671,1.4241,9,1378476,6.53E-06,3
Alabama,1992,13708,20550,1.4991,9,1688060,5.33E-06,4
Alabama,1993,14631,21227,1.4508,9,1688060,5.33E-06,4
Alabama,1994,16039,22160,1.3816,9,1688060,5.33E-06,4
Alabama,1995,17258,22795,1.3208,9,1688060,5.33E-06,4
Alabama,1996,18191,23548,1.2945,9,1534349,5.87E-06,5
Alabama,1997,19282,24650,1.2784,9,1534349,5.87E-06,5
Alabama,1998,20379,25347,1.2438,9,1534349,5.87E-06,5
Alabama,1999,21260,26904,1.2655,9,1534349,5.87E-06,5
Alabama,2000,22496,29250,1.3002,9,1666272,5.40E-06,6
Alabama,2001,22211,31735,1.4288,9,1666272,5.40E-06,6
Alabama,2002,21201,34292,1.6175,9,1666272,5.40E-06,6
Alabama,2003,20493,36871,1.7992,9,1666272,5.40E-06,6
Alabama,2004,21554,39047,1.8116,9,1883449,4.78E-06,7
Alabama,2005,24675,42061,1.7046,9,1883449,4.78E-06,7
Alaska,1981,1839,2073,1.1272,3,158445,1.89E-05,1
Alaska,1982,2063,1937,0.9389,3,158445,1.89E-05,1
Alaska,1983,2063,2060,0.9985,3,158445,1.89E-05,1
Alaska,1984,2193,2321,1.0584,3,207605,1.45E-05,2
Alaska,1985,2300,2531,1.1004,3,207605,1.45E-05,2
Alaska,1986,2159,2719,1.2594,3,207605,1.45E-05,2
Alaska,1987,2254,2846,1.2626,3,207605,1.45E-05,2
Alaska,1988,2295,2664,1.1608,3,200116,1.50E-05,3
Alaska,1989,2638,3160,1.1979,3,200116,1.50E-05,3
Alaska,1990,2871,3280,1.1425,3,200116,1.50E-05,3
Alaska,1991,2927,3752,1.2819,3,200116,1.50E-05,3
Alaska,1992,2937,4124,1.4042,3,258506,1.16E-05,4
Alaska,1993,3085,4632,1.5015,3,258506,1.16E-05,4
Alaska,1994,3311,4497,1.3582,3,258506,1.16E-05,4
Alaska,1995,3410,4230,1.2405,3,258506,1.16E-05,4
Alaska,1996,3520,4378,1.2438,3,241620,1.24E-05,5
Alaska,1997,3711,4644,1.2514,3,241620,1.24E-05,5
Alaska,1998,3890,4769,1.226,3,241620,1.24E-05,5
Alaska,1999,3987,5291,1.3271,3,241620,1.24E-05,5
Alaska,2000,4306,5963,1.3848,3,285560,1.05E-05,6
Alaska,2001,4374,6417,1.4671,3,285560,1.05E-05,6
Alaska,2002,4229,7562,1.7881,3,285560,1.05E-05,6
Alaska,2003,4077,7944,1.9485,3,285560,1.05E-05,6
Alaska,2004,4226,8445,1.9983,3,312598,9.60E-06,7
Alaska,2005,4830,9230,1.911,3,312598,9.60E-06,7
Arizona,1981,6504,7014,1.0784,7,873945,8.01E-06,1
Arizona,1982,6631,7728,1.1654,7,873945,8.01E-06,1
Arizona,1983,6551,8171,1.2473,7,873945,8.01E-06,1
Arizona,1984,7544,9175,1.2162,7,1025897,6.82E-06,2
Arizona,1985,8653,10039,1.1602,7,1025897,6.82E-06,2
Arizona,1986,9376,11403,1.2162,7,1025897,6.82E-06,2
Arizona,1987,10508,12561,1.1954,7,1025897,6.82E-06,2
Arizona,1988,11175,12248,1.096,7,1171873,5.97E-06,3
Arizona,1989,12047,13510,1.1214,7,1171873,5.97E-06,3
Arizona,1990,12410,15154,1.2211,7,1171873,5.97E-06,3
Arizona,1991,12892,15618,1.2114,8,1171873,6.83E-06,3
Arizona,1992,13425,16767,1.2489,8,1487006,5.38E-06,4
Arizona,1993,14730,18618,1.264,8,1487006,5.38E-06,4
Arizona,1994,16802,18809,1.1195,8,1487006,5.38E-06,4
Arizona,1995,18666,20906,1.12,8,1487006,5.38E-06,4
Arizona,1996,20793,21951,1.0557,8,1404405,5.70E-06,4
Arizona,1997,23054,22282,0.9665,8,1404405,5.70E-06,4
Arizona,1998,25491,24120,0.9462,8,1404405,5.70E-06,4
Arizona,1999,27402,27075,0.9881,8,1404405,5.70E-06,4
Arizona,2000,30259,29282,0.9677,8,1532016,5.22E-06,5
Arizona,2001,29838,30416,1.0194,10,1532016,6.53E-06,5
Arizona,2002,28315,34761,1.2277,10,1532016,6.53E-06,5
Arizona,2003,27781,37801,1.3607,10,1532016,6.53E-06,5
Arizona,2004,30521,41979,1.3754,10,2012585,4.97E-06,6
Arizona,2005,35988,44639,1.2404,10,2012585,4.97E-06,6
Arkansas,1981,4039,4900,1.2132,6,837582,7.16E-06,1
Arkansas,1982,4138,5273,1.2743,6,837582,7.16E-06,1
Arkansas,1983,4052,6095,1.5042,6,837582,7.16E-06,1
Arkansas,1984,4516,6088,1.3481,6,884406,6.78E-06,2
Arkansas,1985,4912,6873,1.3992,6,884406,6.78E-06,2
Arkansas,1986,5040,7179,1.4244,6,884406,6.78E-06,2
Arkansas,1987,5490,7316,1.3326,6,884406,6.78E-06,2
Arkansas,1988,5834,7485,1.283,6,827738,7.25E-06,3
Arkansas,1989,6293,7987,1.2692,6,827738,7.25E-06,3
Arkansas,1990,6540,8375,1.2806,6,827738,7.25E-06,3
Arkansas,1991,6901,9166,1.3282,6,827738,7.25E-06,3
Arkansas,1992,7330,10124,1.3812,6,950653,6.31E-06,3
Arkansas,1993,7915,10893,1.3762,6,950653,6.31E-06,3
Arkansas,1994,8808,11308,1.2838,6,950653,6.31E-06,3
Arkansas,1995,9550,11768,1.2323,6,950653,6.31E-06,3
Arkansas,1996,10121,12164,1.2019,6,884262,6.79E-06,3
Arkansas,1997,10600,12593,1.188,6,884262,6.79E-06,3
Arkansas,1998,11289,13041,1.1552,6,884262,6.79E-06,3
Arkansas,1999,11788,13706,1.1627,6,884262,6.79E-06,3
Arkansas,2000,12539,14847,1.1841,6,921781,6.51E-06,4
Arkansas,2001,12402,16659,1.3433,6,921781,6.51E-06,4
Arkansas,2002,11944,18372,1.5382,6,921781,6.51E-06,4
Arkansas,2003,11638,18340,1.5759,6,921781,6.51E-06,4
Arkansas,2004,12223,19489,1.5945,6,1054945,5.69E-06,5
Arkansas,2005,13926,20387,1.464,6,1054945,5.69E-06,5
California,1981,69956,69416,0.9923,47,8587063,5.47E-06,1
California,1982,72100,77501,1.0749,47,8587063,5.47E-06,1
California,1983,71008,86364,1.2163,47,8587063,5.47E-06,1
California,1984,80129,91713,1.1446,47,9505423,4.95E-06,2
California,1985,89735,97814,1.09,47,9505423,4.95E-06,2
California,1986,95626,100860,1.0547,47,9505423,4.95E-06,2
California,1987,108831,100753,0.9258,47,9505423,4.95E-06,2
California,1988,117924,102366,0.8681,47,9887064,4.75E-06,3
California,1989,129221,109125,0.8445,47,9887064,4.75E-06,3
California,1990,135497,117636,0.8682,47,9887064,4.75E-06,3
California,1991,137071,128639,0.9385,54,9887064,5.46E-06,3
California,1992,137581,141913,1.0315,54,11131721,4.85E-06,3
California,1993,143298,149383,1.0425,54,11131721,4.85E-06,3
California,1994,152768,153952,1.0078,54,11131721,4.85E-06,3
California,1995,163140,153831,0.9429,54,11131721,4.85E-06,3
California,1996,177479,156075,0.8794,54,10019484,5.39E-06,3
California,1997,195099,160884,0.8246,54,10019484,5.39E-06,3
California,1998,213694,161909,0.7577,54,10019484,5.39E-06,3
California,1999,235772,168676,0.7154,54,10019484,5.39E-06,3
California,2000,276393,175967,0.6367,54,10965856,4.92E-06,3
California,2001,265608,188758,0.7107,55,10965856,5.02E-06,3
California,2002,241625,206417,0.8543,55,10965856,5.02E-06,3
